id,date,sd,quantile,sign,trade,perd,chg,name,closing_price
634,2016/12/30,-0.00863651,-0.0494526,0,0,0,0,marketing_bear_lin2,0
635,2017/1/31,-0.0223317,-0.0499807,0,0,0,0,marketing_bear_lin2,0
636,2017/2/28,-0.0387441,-0.0523983,0,0,0,0,marketing_bear_lin2,0
637,2017/3/31,-0.0243108,-0.0538189,0,0,0,0,marketing_bear_lin2,0
638,2017/4/28,0.0103253,-0.0522004,0,0,0,0,marketing_bear_lin2,0
639,2017/5/31,0.0282815,-0.0513643,0,0,0,0,marketing_bear_lin2,0
640,2017/6/30,0.0133783,-0.0498094,0,0,0,0,marketing_bear_lin2,0
641,2017/7/31,-0.011425,-0.0470532,0,0,0,0,marketing_bear_lin2,0
642,2017/8/31,-0.0114303,-0.0410997,0,0,0,0,marketing_bear_lin2,0
643,2017/9/29,-0.00554354,-0.0303721,0,0,0,0,marketing_bear_lin2,0
644,2017/10/31,0.00932233,-0.0246159,0,0,0,0,marketing_bear_lin2,0
645,2017/11/30,0.031825,-0.0197984,0,0,0,0,marketing_bear_lin2,0
646,2017/12/29,0.0339795,-0.0159161,0,0,0,0,marketing_bear_lin2,0
647,2018/1/31,0.00687981,-0.0131566,0,0,0,0,marketing_bear_lin2,0
648,2018/2/28,0.00349426,-0.0128887,0,0,0,0,marketing_bear_lin2,0
649,2018/3/30,0.0119662,-0.0138046,0,0,0,0,marketing_bear_lin2,0
650,2018/4/30,0.0358607,-0.0137651,0,0,0,0,marketing_bear_lin2,0
651,2018/5/31,-0.00827916,-0.0157917,0,0,0,0,marketing_bear_lin2,0
652,2018/6/29,-0.0156147,-0.0177819,0,0,0,0,marketing_bear_lin2,0
653,2018/7/31,-0.0320303,-0.0210905,1,0,0,0,marketing_bear_lin2,0
654,2018/8/31,-0.00366495,-0.0208783,0,0,0,0,marketing_bear_lin2,0
655,2018/9/28,-0.0140916,-0.0213935,0,0,0,0,marketing_bear_lin2,0
656,2018/10/31,-0.0074579,-0.0214102,0,0,0,0,marketing_bear_lin2,0
657,2018/11/30,0.000187546,-0.021681,0,0,0,0,marketing_bear_lin2,0
658,2018/12/31,0.0283947,-0.0209376,0,0,0,0,marketing_bear_lin2,0
659,2019/1/31,0.0274791,-0.0189418,0,0,0,0,marketing_bear_lin2,0
660,2019/2/28,-0.00519349,-0.0156247,0,0,0,0,marketing_bear_lin2,0
661,2019/3/29,-0.031088,-0.0164073,1,0,0,0,marketing_bear_lin2,0
662,2019/4/30,-0.0553089,-0.02262,1,1,0,0,marketing_bear_lin2,0
663,2019/5/31,-0.0275513,-0.0249156,1,1,1,1,marketing_bear_lin2,0
25,2019/6/28,-0.0155324,-0.0260859,0,0,1,0,marketing_bear_lin2,10730.8
26,2019/7/31,-0.00360993,-0.0256774,0,0,1,0,marketing_bear_lin2,10823.8
27,2019/8/30,0.013956,-0.0247538,0,0,1,0,marketing_bear_lin2,10618
28,2019/9/30,-0.00651583,-0.0248041,0,0,0,-1,marketing_bear_lin2,10829.7
29,2019/10/31,0.000547154,-0.0250654,0,0,0,0,marketing_bear_lin2,11358.7
30,2019/11/29,-0.0298761,-0.0271996,1,0,0,0,marketing_bear_lin2,11489.6
31,2019/12/31,-0.0156416,-0.0278233,0,0,0,0,marketing_bear_lin2,11997.1
32,2020/1/31,-0.0169766,-0.0287462,0,0,0,0,marketing_bear_lin2,11495.1
33,2020/2/28,-5.02E-05,-0.0288274,0,0,0,0,marketing_bear_lin2,11292.2
34,2020/3/31,0.074962,-0.0320735,0,0,0,0,marketing_bear_lin2,9708.06
35,2020/4/30,0.481978,-0.0924127,0,0,0,0,marketing_bear_lin2,10992.1
36,2020/5/29,0.384309,-0.101528,0,0,0,0,marketing_bear_lin2,10942.2
195,2020/6/30,0.213133,-0.0971185,0,0,0,0,marketing_bear_lin2,11621.2
211,2020/7/31,-0.214635,-0.114649,1,0,0,0,marketing_bear_lin2,12664.8
227,2020/8/31,-0.175935,-0.128101,1,1,0,0,marketing_bear_lin2,12795.5
805,2007/9/28,0.0142909,-0.00757749,0,0,0,0,marketing_bear_svr1,0
806,2007/10/31,0.0103201,-0.00302692,0,0,0,0,marketing_bear_svr1,0
